type,seq,title,start_date,end_date,hours,faculty,days,mid_quiz_date,exam_date,coordinator
module,0,Logic Building & Problem Solving,2026-02-16,2026-02-24,30 hrs (15+15),,7,,,
event,,COURSE INAUGURATION & INDUCTION PROGRAMME,2026-02-25,2026-02-25,,,1,,,
module,1,Java Programming,2026-02-26,2026-03-07,90 hrs (36+30+24),Malkeet Singh,9,2026-03-03,2026-03-09,
module,2,Advanced Programming using Python,2026-03-10,2026-03-21,90 hrs (44+40+6),Dr. Kiran Waghmare,11,2026-03-07,2026-03-23,
module,,Fundamentals of Artificial Intelligence,2026-03-24,2026-03-31,28 hrs,Prakash Pimple + Chetan Ahirao,4,2026-03-27,2026-04-02,
module,3,Mathematics for Artificial Intelligence,2026-03-24,2026-03-31,32 hrs,,3,,,
module,4,Data Analytics,2026-04-03,2026-04-16,120 hrs (50+50+20),Ashish J,12,2026-04-10,2026-04-18,
module,5,Practical Machine Learning,2026-04-20,2026-05-06,120 hrs (60+40+20),Dr. Kiran Waghmare,15,2026-04-28,2026-05-08,
event,,Centralised Mid Course Exams (CMCE),2026-05-13,2026-05-15,,,4,,,
event,,BATCH PICNIC,2026-05-16,2026-05-16,,,,,,
event,,MOCK INTERVIEWS - I,2026-05-24,2026-05-24,,,1,,,
module,6,Deep Neural Network,2026-05-18,2026-05-30,120 hrs (40+50+30),Ruchika,12,2026-05-26,2026-06-01,
module,7,Natural Language Processing & Computer Vision,2026-06-02,2026-06-13,120 hrs (40+6+20),Ruchika,11,2026-06-09,2026-06-15,
module,8,"AI Compute Platforms, Applications & Trends",2026-06-16,2026-07-01,180 hrs (60+60+60),Sandeep Agarwal,14,2026-06-23,2026-07-03,
module,9,Project Phase 1 (SRS),2026-04-04,2026-07-06,10 hrs,,2,,,
module,9,Project Phases 2 (Design),2026-07-07,2026-07-10,20 hrs,,4,,,
event,,Centralised Course-End Exams (CCEE),2026-07-15,2026-07-17,,,3,,,
event,,SPORTS & TEAM BUILDING,2026-07-18,2026-07-19,,,2,,,
module,9,Workshops/Top-up Classes,2026-07-20,2026-07-25,16 hrs (8+8),,5,,,
module,,Aptitude & Communication,2026-07-23,2026-07-24,16 hrs (8+8),Dinesh Anantwar & Koustav Nandi,4,,2026-08-03,
event,,Re-CCEE,2026-07-29,2026-07-31,,,3,,,
event,,MOCK INTERVIEWS - II (All modules),2026-08-02,2026-08-02,,,1,,,
module,10,Project Phases 2 & 3,2026-07-24,2026-08-10,90 hrs,,15,,2026-08-11,
event,,CONVOCATION & FAREWELL,2026-08-14,2026-08-14,,,1,,,
event,,Placements Preparation & Mock Interviews,2026-08-12,2026-08-19,,,7,,,
event,,Common Campus Placements (CCPP) Begin,2026-08-19,2026-08-19,,,,,,
holiday,,Holi,2026-03-03,,,,,,,
holiday,,Independence Day,2026-08-15,,,,,,,
