type,seq,title,start_date,end_date,hours,faculty,days,exam_date,coordinator
module,0,Logic Building & Problem Solving,2026-08-17,2026-08-21,30 hrs (15+15),Sahil Karande,4,,Vineeta
module,1,Python & R Programming,2026-08-24,2026-09-04,120 hrs (36+44+40),Dr. Amar Panchal / Sudeep Bhargav,12,2026-09-07,Sahil
event,,COURSE INAUGURATION & INDUCTION PROGRAMME,2026-09-08,2026-09-08,,,1,,
module,2,Data Collection & DBMS,2026-09-08,2026-09-24,120 hrs (46+44+30),Vineeta,14,2026-09-25,Nishad
module,3,Linux Programming & Cloud Computing,2026-09-26,2026-10-05,60 hrs (28+22+10),Vineeta,8,2026-10-06,Sahil
module,4,Java Programming,2026-10-07,2026-10-19,90 hrs (34+36+20),ChandraShekhar,14,2026-10-20,Nishad
module,5,Big Data Technologies,2026-10-21,2026-11-13,180 hrs (66+84+30),Sandeep Aggarwal / Nishad Kharote,20,2026-11-13,Nishad
event,,Revision Days,2026-11-14,2026-11-17,,,4,,
event,,Course Mid Centralised Exams (CMCE),2026-11-18,2026-11-20,,,3,,
event,,BATCH PICNIC,2026-11-21,2026-11-21,,,1,,Sahil
module,6,Advanced Analytics Using Statistics,2026-11-23,2026-12-07,90 hrs (46+44),Sudeep Bhargav,13,2026-12-09,Nishad
event,,MOCK INTERVIEWS - I,2026-11-29,2026-11-29,,,1,,Davinder
module,7,Practical Machine Learning,2026-12-08,2026-12-31,150 hrs (60+80+10),Sudeep Bhargav / Ruchira Bharghav,21,2027-01-03,Vineeta
module,8,Data Visualisation,2027-01-01,2027-01-08,90 hrs (26+24+40),Rahul Gupta,8,2027-01-09,Sahil
event,,Revision Days,2027-01-10,2027-01-12,,,4,,
event,,Centralised Course-End Exams (CCEE),2027-01-13,2027-01-15,,,4,,
event,,SPORTS & TEAM BUILDING,2027-01-16,2027-01-17,,,,,Davinder & Sahil
module,10,Project Module,2027-01-18,2027-01-28,120 hrs,,10,,Vineeta
event,,Re-CCEE,2027-01-27,2027-01-29,,,3,,
module,9,Communication - Interview Preparation,2027-01-29,2027-01-30,16 hrs,,2,,Vineeta
event,,MOCK INTERVIEWS - II (All modules),2027-01-31,2027-01-31,,,1,,Davinder
event,,Python Interview Coding,2027-02-01,2027-02-02,16 hrs,Dr. Amar Panchal,2,,
module,11,Aptitude Revision,2027-02-04,2027-02-05,16 hrs,Alankar Agnihotri,2,,Sahil
event,,CONVOCATION & FAREWELL,2027-02-06,2027-02-06,,,1,,
event,,Placements Preparation and Mock Interviews,2027-02-12,2027-02-15,,,4,,
event,,PROJECT MOCK - I,2027-02-14,2027-02-14,,,,,Vineeta
event,,Common Campus Placements (CCPP) Begin,2027-02-16,2027-02-16,,,,,Davinder
holiday,,Ganesh Chaturthi,2026-09-04,,,,,,
holiday,,Mahatma Gandhi Jayanti,2026-10-02,,,,,,
holiday,,Dussehra,2026-10-20,,,,,,
holiday,,Deepawali,2026-11-07,2026-11-08,,,,,
